brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
DELL,Inspiron,Intel,Core i5,11th,16,DDR4,Windows,64,14,88990,512,4.5
DELL,Inspiron,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,93955,1024,0
Lenovo,Yoga,AMD,Ryzen 7,Missing,16,DDR4,Windows,64,13.3,78990,512,0
LG,Gram,Intel,Core i5,10th,8,DDR4,Windows,64,14,62990,256,4.4
ASUS,ROG,Intel,Core i7,10th,32,DDR4,Windows,64,15.6,234990,1024,0
DELL,Vostro,Intel,Core i3,11th,4,DDR4,Windows,64,14,43590,1280,4
ASUS,Commercial,Intel,Core i3,10th,4,DDR4,Windows,32,14,39990,256,0
HP,Spectre,Intel,Core i7,11th,16,LPDDR4X,Windows,64,13.3,128500,1024,0
Lenovo,X390,Intel,Core i5,10th,8,DDR4,Windows,64,13.3,113590,512,3.8
DELL,Vostro,Intel,Core i3,10th,4,DDR4,Windows,64,14,41390,1280,4.8
ASUS,Core,Intel,Core i3,10th,8,DDR4,Windows,32,14,35590,1024,4.7
RedmiBook,Notebook,Intel,Core i5,10th,8,DDR4,Windows,64,14,54990,512,4.6
ASUS,Core,Intel,Core i7,11th,8,DDR4,Windows,32,15.6,82500,1280,0
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,55990,256,0
ASUS,Vivobook,Intel,Core i5,11th,8,LPDDR4X,Windows,64,14,73990,512,0
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,44890,512,3.7
Lenovo,Yoga,AMD,Ryzen 5,Missing,16,LPDDR4X,Windows,64,13.3,81978,1024,0
ASUS,Zephyrus,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,14,111000,1024,4.2
Lenovo,Yoga,Intel,Core i7,11th,16,DDR4,Windows,64,14,102990,1024,3.4
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,39998,256,4.3
HP,Pavilion,Intel,Core i7,11th,16,DDR4,Windows,64,15.6,92000,512,0
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,59990,1024,3.3
LG,Gram,Intel,Core i5,11th,8,DDR4,Windows,64,16,86990,512,4.2
HP,14s,Intel,Core i3,11th,8,DDR4,Windows,64,14,42490,256,3.9
MSI,GF63,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,52990,1024,0
HP,Core,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,61000,512,0
acer,Aspire,AMD,Ryzen 7,Missing,8,DDR4,Windows,64,15.6,59990,512,4.4
ASUS,Zenbook,Intel,Core i5,11th,8,LPDDR4X,Windows,64,14,99990,512,4.2
